text,rating,char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,long_word_ratio,complex_word_ratio,lexical_diversity,comma_per_sentence,parentheses_ratio,sentence_complexity,punctuation_ratio,number_count,digit_ratio,upper_word_ratio,legal_term_count,legal_term_ratio
I. BEVEZETŐ RENDELKEZÉSEK,4,25,3,2,7.666666666666667,1.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,1.5,0.04,0,0.0,1.0,1,0.3333333333333333
A Magyarország helyi önkormányzatairól szóló 2011. évi CLXXXIX. törvény 23. § (4) bekezdése szerint a Budapest Fővárosi Önkormányzatának (a továbbiakban: Önkormányzat) kiemelt feladata – többek között – a helyi közösségi közlekedés biztosítása és működtetése.,2,259,34,4,6.647058823529412,8.5,0.29411764705882354,0.20588235294117646,0.8823529411764706,0.0,0.11764705882352941,8.5,0.04633204633204633,3,0.02702702702702703,0.029411764705882353,3,0.08823529411764706
"Az Önkormányzat a Budapest közlekedésszervezési feladatainak ellátásáról szóló 20/2012. (III. 14.) Főv. Kgy. rendeletben (a továbbiakban: Kijelölő rendelet) a személyszállítási szolgáltatásokról szóló 2012. évi XLI. törvény, a vasúti közlekedésről szóló 2005. évi LXXXVI. törvény, továbbá a közúti közlekedésről szóló 1988. évi I. törvény alapján feladatainak – Kijelölő rendeletben meghatározott körben és módon történő – ellátására a BKK Zrt.-t, mint közlekedésszervezőt jelölte ki. A BKK Zrt. az Önkormányzat 100%-os tulajdonában álló, közfeladat ellátására és közszolgáltatás biztosítására létrehozott gazdasági társaság.",1,625,78,15,7.0256410256410255,5.2,0.32051282051282054,0.24358974358974358,0.7307692307692307,0.26666666666666666,0.05128205128205128,5.477333333333333,0.048,7,0.0368,0.07692307692307693,9,0.11538461538461539
"A Kijelölő rendelet, valamint az Önkormányzat és a BKK Zrt. között 2016. április 1-jei hatállyal létrejött Feladatellátásról és közszolgáltatásról szóló keretmegállapodás (a továbbiakban: Keretmegállapodás) alapján a BKK Zrt. mint közlekedésszervező feladatellátásával elérni kívánt célok között szerepel az egységes jegyértékesítési rendszer és utastájékoztatás megvalósítása. A BKK Zrt. mint közlekedésszervező nevesített feladatai között szerepel a jegy- és bérletértékesítés, a jegy- és bérletellenőrzés, valamint a bevételek beszedése, ideértve az ezekhez szorosan kapcsolódó, jogszabályban előírt feladatokat is. Továbbá az előre tervezett utastájékoztatás megvalósítása és a BKK Zrt. által szervezett közlekedés járműveit üzemeltető vállalkozások tájékoztatási feladatainak elrendelése, az üzemeltetők kötelezése a szükséges tájékoztatási feladatok ellátására és a rendkívüli utastájékoztatási feladatok végrehajtása.",1,924,106,8,7.726415094339623,13.25,0.42452830188679247,0.25471698113207547,0.6698113207547169,0.75,0.018867924528301886,15.237499999999999,0.021645021645021644,2,0.005411255411255411,0.03773584905660377,11,0.10377358490566038
"A BKK Zrt. BudapestGO nevű mobilalkalmazása a fenti feladatok végrehajtását támogatja egy megújuló, integrált platformon. A BKK Zrt. ebben az egységes, integrált mobilalkalmazásban biztosítja az utazástervezési szolgáltatásokat, személyre szabott, valós idejű utazási információk nyújtását, valamint regisztrációt követően az utazási jogosultságok megvásárlásának lehetőségét, mely szolgáltatás a Nemzeti Mobilfizetési Zrt. (NM Zrt.) által biztosított központosított mobilértékesítésű szolgáltatáson alapul. A BKK Zrt. az NM Zrt.-vel kötött egyedi viszonteladói szerződés alapján jogosult az utazási jogosultságok vásárlásával kapcsolatos szolgáltatások közvetítésére.",2,668,75,9,7.92,8.333333333333334,0.4533333333333333,0.30666666666666664,0.7733333333333333,0.6666666666666666,0.02666666666666667,9.444444444444445,0.02694610778443114,0,0.0,0.06666666666666667,12,0.16
"Az Alkalmazásban elérhető jegyek és bérletek árai az érintett szolgáltató által az NM Zrt., és rajta keresztül a viszonteladók számára megadott ár.",3,147,22,2,5.7272727272727275,11.0,0.18181818181818182,0.13636363636363635,0.8636363636363636,0.5,0.0,12.100000000000001,0.02040816326530612,0,0.0,0.045454545454545456,1,0.045454545454545456
"• Alkalmazás: a BudapestGO mobilalkalmazás, a BKK Zrt. által a jelen ÁSZF-ben meghatározottak szerint működtetett, a BudapestGO Felhasználók számára a Budapesten hozzáférhető önkormányzati közszolgáltatásokhoz és közérdeklődésre számot tartó egyéb szolgáltatásokhoz kapcsolódó információkhoz hozzáférést és az ezekkel kapcsolatos ügyekben kommunikációs felületet biztosító mobil alkalmazás, mellyel a Szolgáltatás igénybe vehető. Ingyenesen elérhető AppStore-ban és a Google Play Áruházban. Az Alkalmazás informatikai üzemeltetője: a BKK Zrt. szerződéses partnere az Alkalmazás megfelelő működéséhez szükséges informatikai feladatok ellátására (jelenleg a Telekom Rendszerintegráció Zrt.)",3,688,78,6,7.833333333333333,13.0,0.48717948717948717,0.2948717948717949,0.782051282051282,0.5,0.02564102564102564,14.3,0.02180232558139535,0,0.0,0.02564102564102564,7,0.08974358974358974
"• ÁSZF: A jelen Általános szerződési feltételek mellékleteivel együtt, beleértve ezen ÁSZF mindenkori módosításait is.",4,118,15,1,6.933333333333334,15.0,0.4666666666666667,0.13333333333333333,1.0,1.0,0.0,18.0,0.03389830508474576,0,0.0,0.13333333333333333,4,0.26666666666666666
"• BKK-azonosító: hatjegyű alfanumerikus karakterlánc, melyet a regisztrációkor a rendszer automatikusan generál és a Felhasználó részére a sikeres regisztrációt követően e-mailben elküld, valamint megtalálható a Felhasználói fiókban.",5,233,27,1,7.666666666666667,27.0,0.37037037037037035,0.3333333333333333,0.8518518518518519,2.0,0.0,37.8,0.030042918454935622,0,0.0,0.0,0,0.0
"• BKK Zrt.: BKK Budapesti Közlekedési Központ Zártkörűen Működő Részvénytársaság Budapest Főváros Önkormányzata által jegy- és bérletértékesítésre, valamint utastájékoztatásra kijelölt szervezet, amely az Alkalmazást üzemelteti és a Szolgáltatásokat nyújtja.",3,258,29,2,7.931034482758621,14.5,0.3793103448275862,0.2413793103448276,0.9310344827586207,1.0,0.0,17.4,0.027131782945736434,0,0.0,0.06896551724137931,3,0.10344827586206896
"• E-mail-cím: a Felhasználó által az Alkalmazásban a regisztrációhoz és a Hírlevél-feliratkozáshoz megadott érvényes és létező, a Felhasználóhoz tartozó saját, valós e-mail-cím, amelyet a használat során a Személyes adatok menüpontban bármikor módosíthat.",5,255,32,1,7.0,32.0,0.34375,0.28125,0.8125,3.0,0.0,51.2,0.043137254901960784,0,0.0,0.0,3,0.09375
"• Felhasználó: az a természetes személy, aki az Alkalmazást letölti, használja, illetve további bizonyos funkciók és Szolgáltatások használatához regisztrálja magát, ezzel jogosulttá válik arra, hogy az Alkalmazás regisztrációhoz kötött funkcióit használja, illetve az Alkalmazáson keresztül a Szolgáltatásokat igénybe vegye. A Felhasználó fogalma egyúttal magában foglalja a Ptk. 8:1. § 3. pontja értelmében vett fogyasztót, aki a szakmája, önálló foglalkozása vagy üzleti tevékenysége körén kívül eljáró természetes személy.",3,526,67,5,6.865671641791045,13.4,0.3283582089552239,0.208955223880597,0.835820895522388,1.6,0.0,17.688000000000002,0.03231939163498099,3,0.005703422053231939,0.0,6,0.08955223880597014
"• Felhasználói fiók: az Alkalmazás menüpontja, amelyben a Felhasználó saját adatai elérhetők. Ilyen adatok a Felhasználónak a Szolgáltatások igénybevételéhez kapcsolódó adatai, valamint elszámolási, illetve pénzforgalmi adatok. A Felhasználói fiók mutatja a Felhasználó termékeit, illetve az Alkalmazáson keresztül a Felhasználó részére továbbított értesítéseket.",5,363,42,3,7.666666666666667,14.0,0.4523809523809524,0.3333333333333333,0.7619047619047619,1.3333333333333333,0.0,17.733333333333334,0.024793388429752067,0,0.0,0.0,4,0.09523809523809523
"• Jelszó: a Felhasználó által a Regisztráció során megadott, a regisztrációhoz kötött Szolgáltatás igénybevételéhez szükséges egyedi jelszó.",5,140,17,1,7.294117647058823,17.0,0.4117647058823529,0.29411764705882354,0.8823529411764706,1.0,0.0,20.4,0.02857142857142857,0,0.0,0.0,3,0.17647058823529413
"• Közlekedési mobiljegy: az Alkalmazáson keresztül megvásárolható, az egyes közszolgáltatások egységes elektronikus értékesítéséről szóló 2020. évi CXLV. törvény 1. § d) pontja szerinti személyszállítási szolgáltatás igénybevételéhez szükséges elektronikus közlekedési jegy.",3,274,30,4,8.166666666666666,7.5,0.4666666666666667,0.36666666666666664,0.9,0.25,0.03333333333333333,7.875,0.032846715328467155,2,0.01824817518248175,0.03333333333333333,7,0.23333333333333334
• Név: a Felhasználó személyazonosító igazolványában megjelölt teljes neve.,5,75,9,1,7.444444444444445,9.0,0.4444444444444444,0.3333333333333333,1.0,0.0,0.0,9.0,0.04,0,0.0,0.0,0,0.0
• Ptk.: a Polgári törvénykönyvről szóló 2013. évi V. törvény,4,60,10,4,5.1,2.5,0.1,0.1,1.0,0.0,0.0,2.5,0.08333333333333333,1,0.06666666666666667,0.1,2,0.2
"• Regisztráció: a Felhasználó az Alkalmazáson keresztül önkiszolgáló módon a jelen ÁSZF szerinti adatainak megadásával regisztrálja magát az Alkalmazásban, amely az Alkalmazáson keresztül nyújtott, egyes Szolgáltatások igénybevételének a feltétele.",3,248,29,1,7.586206896551724,29.0,0.5172413793103449,0.3448275862068966,0.7931034482758621,2.0,0.0,40.599999999999994,0.020161290322580645,0,0.0,0.034482758620689655,5,0.1724137931034483
"• Szolgáltatás: az Alkalmazáson mint integrált rendszeren keresztül a BKK Zrt. által felkínált online szolgáltatások időben bővülő összessége, amelyeket a Felhasználók igénybe vehetnek. A szolgáltatások körét a BKK Zrt. jogosult saját döntési jogkörében eljárva bármikor szabadon meghatározni, módosítani, aszolgáltatásokat újabb funkciókkal vagy lehetőségekkel bővíteni, meglévő szolgáltatásokat, azok bármilyen tulajdonságát egyoldalúan bármikor módosítani vagy az egyes szolgáltatásokat felfüggeszteni, illetve a szolgáltatásokkal együtt az Alkalmazás egészét megszüntetni.",3,576,65,4,7.876923076923077,16.25,0.4461538461538462,0.27692307692307694,0.8307692307692308,1.5,0.0,21.125,0.020833333333333332,0,0.0,0.03076923076923077,9,0.13846153846153847
"• Szolgáltató: az a Közösségi Közlekedési Szolgáltató, amelynek a Közlekedési mobiljegy termékei elérhetők az Alkalmazásban (pl. BKK Zrt., Volánbusz Zrt. stb).",4,159,21,4,6.619047619047619,5.25,0.42857142857142855,0.23809523809523808,0.8571428571428571,0.5,0.09523809523809523,5.775,0.06289308176100629,0,0.0,0.047619047619047616,0,0.0
